timestamp,soil_moisture,air_temperature,air_humidity,VPD,hour_sin,hour_cos,soil_diff_1,soil_diff_3,growth_stage
2026-01-28 06:50:00,57.0,24.5,90.0,0.30746490508815905,1.0,6.123233995736766e-17,0.0,0.0,0
2026-01-28 07:00:00,56.0,24.1,90.0,0.3001874544343157,0.9659258262890683,-0.25881904510252063,-1.0,-1.0,0
2026-01-28 07:20:00,56.0,24.6,91.0,0.2783773196570287,0.9659258262890683,-0.25881904510252063,0.0,-1.0,0
2026-01-28 07:30:00,56.0,25.5,89.0,0.3589692281256931,0.9659258262890683,-0.25881904510252063,0.0,-1.0,0
2026-01-28 07:50:00,64.0,25.7,89.0,0.3632514959249318,0.9659258262890683,-0.25881904510252063,8.0,8.0,0
2026-01-28 08:00:00,59.0,26.6,87.0,0.45272797588927993,0.8660254037844387,-0.4999999999999998,-5.0,3.0,0
2026-01-28 08:20:00,58.0,28.2,85.0,0.5736258027081078,0.8660254037844387,-0.4999999999999998,-1.0,2.0,0
2026-01-28 08:30:00,57.0,29.1,76.0,0.9669322615821971,0.8660254037844387,-0.4999999999999998,-1.0,-7.0,0
2026-01-28 08:50:00,56.0,29.1,73.0,1.0877987942799718,0.8660254037844387,-0.4999999999999998,-1.0,-3.0,0
2026-01-28 09:00:00,59.0,30.3,77.0,0.9928238380602403,0.7071067811865476,-0.7071067811865475,3.0,1.0,0
2026-01-28 09:20:00,61.0,28.5,75.0,0.9728448827963039,0.7071067811865476,-0.7071067811865475,2.0,4.0,0
2026-01-28 09:30:00,59.0,28.2,77.0,0.8795595641524314,0.7071067811865476,-0.7071067811865475,-2.0,3.0,0
2026-01-28 09:50:00,56.0,28.2,75.0,0.9560430045135124,0.7071067811865476,-0.7071067811865475,-3.0,-3.0,0
2026-01-28 10:00:00,60.0,31.1,70.0,1.3554697150211106,0.49999999999999994,-0.8660254037844387,4.0,-1.0,0
2026-01-28 10:20:00,52.0,30.9,68.0,1.4294651725659757,0.49999999999999994,-0.8660254037844387,-8.0,-7.0,0
2026-01-28 10:30:00,51.0,33.8,64.0,1.893712137477344,0.49999999999999994,-0.8660254037844387,-1.0,-5.0,0
2026-01-28 10:50:00,56.0,34.6,58.0,2.309814632762627,0.49999999999999994,-0.8660254037844387,5.0,-4.0,0
2026-01-28 11:00:00,56.0,32.6,57.0,2.1149039470357924,0.258819045102521,-0.9659258262890682,0.0,4.0,0
2026-01-28 11:20:00,48.0,31.0,62.0,1.7071850554250614,0.258819045102521,-0.9659258262890682,-8.0,-3.0,0
2026-01-28 12:50:00,100.0,33.8,61.0,2.051521482267123,1.2246467991473532e-16,-1.0,52.0,44.0,0
2026-01-28 13:00:00,100.0,33.6,65.0,1.820675659610115,-0.2588190451025208,-0.9659258262890683,0.0,44.0,0
2026-01-28 13:20:00,100.0,34.9,67.0,1.845253960492459,-0.2588190451025208,-0.9659258262890683,0.0,52.0,0
2026-01-28 14:10:00,100.0,32.1,60.0,1.9126840681152002,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0
2026-01-28 14:20:00,100.0,32.0,62.0,1.806814650579489,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0
2026-01-28 14:40:00,89.0,33.1,61.75,1.9348500470419885,-0.4999999999999997,-0.8660254037844388,-11.0,-11.0,0
2026-01-28 15:00:00,76.0,33.8,61.0,2.051521482267123,-0.7071067811865471,-0.7071067811865479,-13.0,-24.0,0
2026-01-28 15:20:00,74.0,31.2,63.0,1.6812798470588,-0.7071067811865471,-0.7071067811865479,-2.0,-26.0,0
2026-01-28 15:30:00,73.0,32.4,68.0,1.556259583376919,-0.7071067811865471,-0.7071067811865479,-1.0,-16.0,0
2026-01-28 15:50:00,72.0,32.4,66.0,1.6535258073379766,-0.7071067811865471,-0.7071067811865479,-1.0,-4.0,0
2026-01-28 16:00:00,71.0,32.1,62.0,1.81704986470944,-0.8660254037844385,-0.5000000000000004,-1.0,-3.0,0
2026-01-28 16:20:00,70.0,32.6,62.0,1.8689848834269793,-0.8660254037844385,-0.5000000000000004,-1.0,-3.0,0
2026-01-28 16:30:00,70.0,32.3,65.0,1.6925921340113588,-0.8660254037844385,-0.5000000000000004,0.0,-2.0,0
2026-01-28 16:50:00,70.0,31.7,69.0,1.4491756559542703,-0.8660254037844385,-0.5000000000000004,0.0,-1.0,0
2026-01-28 17:00:00,70.0,31.4,70.0,1.3787751949942635,-0.9659258262890683,-0.25881904510252063,0.0,0.0,0
2026-01-28 17:20:00,70.0,30.2,74.0,1.115915591045772,-0.9659258262890683,-0.25881904510252063,0.0,0.0,0
2026-01-28 18:50:00,50.0,27.5,84.0,0.5874032334866723,-1.0,-1.8369701987210297e-16,-20.0,-20.0,0
2026-01-28 19:10:00,49.0,27.6,84.0,0.5908451136467687,-0.9659258262890684,0.2588190451025203,-1.0,-21.0,0
2026-01-28 19:20:00,49.0,27.0,84.0,0.5704544281297355,-0.9659258262890684,0.2588190451025203,0.0,-21.0,0
2026-01-28 19:40:00,49.0,27.1,85.0,0.5379465849526586,-0.9659258262890684,0.2588190451025203,0.0,-1.0,0
2026-01-28 20:00:00,48.0,27.9,85.0,0.5636965666311018,-0.8660254037844386,0.5000000000000001,-1.0,-1.0,0
2026-01-28 20:10:00,48.0,27.3,85.0,0.5442860768990796,-0.8660254037844386,0.5000000000000001,0.0,-1.0,0
2026-01-28 20:30:00,48.0,27.2,85.0,0.541108245378827,-0.8660254037844386,0.5000000000000001,0.0,-1.0,0
2026-01-28 20:40:00,48.0,27.4,86.0,0.5109814723976478,-0.8660254037844386,0.5000000000000001,0.0,0.0,0
